title,inchikey,Kingdom,Superclass,class,subclass,intermediate_nodes,direct_parents
Meglutol,NPOAOTPXWNWTSH-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,Hydroxy fatty acids
Disaccharide(Hex-Hex),PVXPPJIGRGXGCY-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds
Trehalose,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds
