Peak ID	Name	Scan	m/z left	m/z	m/z right	Height	Area	Model masses	Adduct	Isotope	Comment	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	m/z matched	MS/MS matched	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
0	low score: Urea; AIF; CE0; MS2Dec	0	51.78829	61.03985	70.06535	345337376	32577083392		[M+H]+	0	Annotation method: Pos_bank_???_1	61.03964	CH4N2O	null	XSQUKJJJFZCRTK-UHFFFAOYSA-N		530	True	False	1.00	0.517	0.498	0.866	1.00	1.00	0.876	344909400.00	null	42.60093:2881917 44.01292:87798768 44.01522:6476979 46.15173:2957928 47.25473:3034163 48.60323:12885485 49.50233:2687232 52.72370:2893789 53.43994:2865833 61.03938:45504888
1	Trimethylamine N-oxide	0	70.06535	76.07590	98.06019	69061544	26381287424		[M+H]+	0	Annotation method: Pos_bank_???_1	76.07569	C3H9NO	Trialkyl amine oxides	UYPYRKYUKCHHIB-UHFFFAOYSA-N	O=N(C)(C)C	430	True	True	1.00	0.965	0.937	0.941	3.00	1.00	0.983	68207220.00	null	48.60426:1597786 58.06498:193701200 58.06849:8680902 58.06996:5228994 59.07278:74228720 59.07640:2753790 60.04421:2345169 76.07542:24866786
2	CREATININE	0	98.06019	114.06637	116.07057	297935360	123520409600		[M+H]+	0	Annotation method: Pos_bank_???_1	114.06618	C4H7N3O	null	DDRJAANPRJIHGJ-UHFFFAOYSA-N		430	True	True	1.00	0.977	0.956	0.961	5.00	1.00	0.988	297081000.00	null	42.03377:1983544 43.02895:11703993 43.78408:1085942 44.04934:210340240 44.05168:12528562 44.05272:6494414 57.39180:905747 58.55357:1019352 60.51446:994142 61.06093:1205151 72.04408:5059884 73.10098:1035878 78.82595:915867 86.07095:15616042 104.08112:3315388 114.06570:167518800
3	low score: Benzamidine	0	116.07057	121.07216	122.07539	15547494	4320154624		[M+IsoProp+H]+	0	Annotation method: Pos_bank_???_1	121.07600	C7H8N2	null	PXXJHWLDUBFPOL-UHFFFAOYSA-N		530	True	False	1.00	0.702	0.677	0.866	1.00	1.00	0.916	11012210.00	null	40.17447:9032 40.61613:7760 48.59860:15072 51.79313:8791 68.47828:8490 76.59931:8792 90.78568:9673 92.02663:20375 93.03402:23851 101.36113:9019 121.02898:117130
4	no MS2: CREATINE	0	122.07539	132.07692	136.02179	14002279	6146976768		[M+H]+	0	Annotation method: Pos_bank_???_1	132.07700	C4H9N3O2	Alpha amino acids and derivatives	CVSVTCORWBXHQV-UHFFFAOYSA-N	CN(CC(=O)O)C(=N)N	530	True	False	1.00	0.000	0.000	0.000	0.00	0.00	0.333	10906740.00	null	null
5	low score: Trigonelline	0	136.02179	138.05511	141.06595	9207659	2190895872		[2M+NH4]+	0	Annotation method: Pos_bank_???_1	138.05495	C7H7NO2	null	WWNNZCOKKKDOPX-UHFFFAOYSA-N	C[N+]1=CC=CC(=C1)C(=O)[O-]	530	True	False	1.00	0.399	0.452	0.866	1.00	1.00	0.857	6112122.00	null	40.56672:8211 43.19822:9112 56.65149:8474 57.84108:8879 80.99703:8154 93.54876:9185 108.04581:10135 138.05576:11749
6	low score: 1-(4-methoxyphenyl)ethanone	0	141.06595	151.14427	170.03230	39838784	22160965632		[2M+H]+	0	Annotation method: Pos_bank_???_1	151.08000	C9H10O2	Alkyl-phenylketones	NTPLXRHDUXRPNE-UHFFFAOYSA-N	O=C(C1=CC=C(OC)C=C1)C	530	True	False	0.72	0.281	0.859	0.230	2.00	1.00	0.727	39233850.00	null	40.83604:8207 43.03762:8753 48.59877:18969 50.08136:8252 57.92128:10532 106.04197:55828 107.04965:3147821 124.28873:8896 151.04027:13928
7	no MS2: 3,5-dihydroxydecanoic acid	0	203.38115	227.12537	274.09201	21046820	15293516800		[2M+H]+	0	Annotation method: Pos_bank_???_1	227.12537	C10H20O4	null	WQZRAWSNEARGPQ-UHFFFAOYSA-N		530	True	False	1.00	0.000	0.000	0.000	0.00	0.00	0.333	20482440.00	null	null
